identifier,objcConstant,family,group,abstract,aggregation,unitFamily,valueEnum,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"pushCount","HKQuantityTypeIdentifierPushCount","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the number of pushes that the user has performed while using a wheelchair.","cumulative","count",,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pushcount"
"respiratoryRate","HKQuantityTypeIdentifierRespiratoryRate","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s respiratory rate.","discrete","count/time",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/respiratoryrate"
"restingHeartRate","HKQuantityTypeIdentifierRestingHeartRate","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s resting heart rate.","discrete","count/time",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/restingheartrate"
"rowingSpeed","HKQuantityTypeIdentifierRowingSpeed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures how fast the rower is moving.","discrete","distance per time",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/rowingspeed"
"runningGroundContactTime","HKQuantityTypeIdentifierRunningGroundContactTime","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the amount of time the runner’s foot is in contact with the ground while running.","discrete","time",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runninggroundcontacttime"
"runningPower","HKQuantityTypeIdentifierRunningPower","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the rate of work required for the runner to maintain their speed.","discrete","power",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningpower"
"runningSpeed","HKQuantityTypeIdentifierRunningSpeed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the runner’s speed.","discrete","distance per time",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningspeed"
"runningStrideLength","HKQuantityTypeIdentifierRunningStrideLength","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance covered by a single step while running.","discrete","length",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningstridelength"
"runningVerticalOscillation","HKQuantityTypeIdentifierRunningVerticalOscillation","HKQuantityTypeIdentifier","Activity","A quantity sample type measuring pelvis vertical range of motion during a single running stride.","discrete","length",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningverticaloscillation"
"sixMinuteWalkTestDistance","HKQuantityTypeIdentifierSixMinuteWalkTestDistance","HKQuantityTypeIdentifier","Mobility","A quantity sample type that stores the distance a user can walk during a six-minute walk test.","discrete","length",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/sixminutewalktestdistance"
"stairAscentSpeed","HKQuantityTypeIdentifierStairAscentSpeed","HKQuantityTypeIdentifier","Mobility","A quantity sample type measuring the user’s speed while climbing a flight of stairs.","discrete","distance/time",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairascentspeed"
"stairDescentSpeed","HKQuantityTypeIdentifierStairDescentSpeed","HKQuantityTypeIdentifier","Mobility","A quantity sample type measuring the user’s speed while descending a flight of stairs.","discrete","distance/time",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairdescentspeed"
"stepCount","HKQuantityTypeIdentifierStepCount","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the number of steps the user has taken.","cumulative","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stepcount"
"swimmingStrokeCount","HKQuantityTypeIdentifierSwimmingStrokeCount","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the number of strokes performed while swimming.","cumulative","count",,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/swimmingstrokecount"
"timeInDaylight","HKQuantityTypeIdentifierTimeInDaylight","HKQuantityTypeIdentifier","UV exposure","A quantity sample type that measures amount of time the user spent in daylight.","cumulative","time",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/timeindaylight"
"underwaterDepth","HKQuantityTypeIdentifierUnderwaterDepth","HKQuantityTypeIdentifier","Diving","A quantity sample that records a person’s depth underwater.","discrete","length",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/underwaterdepth"
"uvExposure","HKQuantityTypeIdentifierUVExposure","HKQuantityTypeIdentifier","UV exposure","A quantity sample type that measures the user’s exposure to UV radiation.","discrete","count",,"9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/uvexposure"
"vo2Max","HKQuantityTypeIdentifierVO2Max","HKQuantityTypeIdentifier","Activity","A quantity sample that measures the maximal oxygen consumption during exercise.","discrete","volume/mass/time",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/vo2max"
"waistCircumference","HKQuantityTypeIdentifierWaistCircumference","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s waist circumference.","discrete","length",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/waistcircumference"
"walkingAsymmetryPercentage","HKQuantityTypeIdentifierWalkingAsymmetryPercentage","HKQuantityTypeIdentifier","Mobility","A quantity sample type that measures the percentage of steps in which one foot moves at a different speed than the other when walking on flat ground.","discrete","percentage",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingasymmetrypercentage"
"walkingDoubleSupportPercentage","HKQuantityTypeIdentifierWalkingDoubleSupportPercentage","HKQuantityTypeIdentifier","Mobility","A quantity sample type that measures the percentage of time when both of the user’s feet touch the ground while walking steadily over flat ground.","discrete","percentage",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingdoublesupportpercentage"
"walkingHeartRateAverage","HKQuantityTypeIdentifierWalkingHeartRateAverage","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s heart rate while walking.","discrete","count/time",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingheartrateaverage"
"walkingSpeed","HKQuantityTypeIdentifierWalkingSpeed","HKQuantityTypeIdentifier","Mobility","A quantity sample type that measures the user’s average speed when walking steadily over flat ground.","discrete","distance per time",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingspeed"
"walkingStepLength","HKQuantityTypeIdentifierWalkingStepLength","HKQuantityTypeIdentifier","Mobility","A quantity sample type that measures the average length of the user’s step when walking steadily over flat ground.","discrete","distance",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingsteplength"
"waterTemperature","HKQuantityTypeIdentifierWaterTemperature","HKQuantityTypeIdentifier","Diving","A quantity sample that records the water temperature.","discrete","temperature",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/watertemperature"
"workoutEffortScore","HKQuantityTypeIdentifierWorkoutEffortScore","HKQuantityTypeIdentifier","Activity",,,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/workouteffortscore"
"appleStandHour","HKCategoryTypeIdentifierAppleStandHour","HKCategoryTypeIdentifier","Activity","A category sample type that counts the number of hours in the day during which the user has stood and moved for at least one minute per hour.",,,"HKCategoryValueAppleStandHour","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applestandhour"
"appleWalkingSteadinessEvent","HKCategoryTypeIdentifierAppleWalkingSteadinessEvent","HKCategoryTypeIdentifier","Mobility","A category sample type that records an incident where the user showed a reduced score for their gait’s steadiness.",,,"HKCategoryValueAppleWalkingSteadinessEvent","15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applewalkingsteadinessevent"
"audioExposureEvent","HKCategoryTypeIdentifierAudioExposureEvent","HKCategoryTypeIdentifier","Hearing","A category sample type for audio exposure events.",,,"HKCategoryValueAudioExposureEvent","13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/audioexposureevent"
"bleedingAfterMenopause","HKCategoryTypeIdentifierBleedingAfterMenopause","HKCategoryTypeIdentifier","Reproductive Health","An identifier for samples that record bleeding after menopause.",,,,"27.0","27.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bleedingaftermenopause"
"cervicalMucusQuality","HKCategoryTypeIdentifierCervicalMucusQuality","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records the quality of the user’s cervical mucus.",,,"HKCategoryValueCervicalMucusQuality","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cervicalmucusquality"
"contraceptive","HKCategoryTypeIdentifierContraceptive","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records the use of contraceptives.",,,"HKCategoryValueContraceptive","14.3","7.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/contraceptive"
"environmentalAudioExposureEvent","HKCategoryTypeIdentifierEnvironmentalAudioExposureEvent","HKCategoryTypeIdentifier","Hearing","A category sample type that records exposure to potentially damaging sounds from the environment.",,,"HKCategoryValueEnvironmentalAudioExposureEvent","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/environmentalaudioexposureevent"
"handwashingEvent","HKCategoryTypeIdentifierHandwashingEvent","HKCategoryTypeIdentifier","Self Care","A category sample type for handwashing events.",,,"HKCategoryValue","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/handwashingevent"
"headphoneAudioExposureEvent","HKCategoryTypeIdentifierHeadphoneAudioExposureEvent","HKCategoryTypeIdentifier","Hearing","A category sample type that records exposure to potentially damaging sounds from headphones.",,,"HKCategoryValueHeadphoneAudioExposureEvent","14.2","7.1","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/headphoneaudioexposureevent"
"highHeartRateEvent","HKCategoryTypeIdentifierHighHeartRateEvent","HKCategoryTypeIdentifier","Vital Signs","A category sample type for high heart rate events.",,,"HKCategoryValue","12.2","5.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/highheartrateevent"
"hypertensionEvent","HKCategoryTypeIdentifierHypertensionEvent","HKCategoryTypeIdentifier","Type Properties - generated",,,,,"26.2","26.2","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/hypertensionevent"
"infrequentMenstrualCycles","HKCategoryTypeIdentifierInfrequentMenstrualCycles","HKCategoryTypeIdentifier","Reproductive Health","A category sample that indicates an infrequent menstrual cycle.",,,"HKCategoryValue","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/infrequentmenstrualcycles"
"intermenstrualBleeding","HKCategoryTypeIdentifierIntermenstrualBleeding","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records spotting outside the normal menstruation period.",,,"HKCategoryValue","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/intermenstrualbleeding"
"irregularHeartRhythmEvent","HKCategoryTypeIdentifierIrregularHeartRhythmEvent","HKCategoryTypeIdentifier","Vital Signs","A category sample type for irregular heart rhythm events.",,,"HKCategoryValue","12.2","5.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/irregularheartrhythmevent"
"irregularMenstrualCycles","HKCategoryTypeIdentifierIrregularMenstrualCycles","HKCategoryTypeIdentifier","Reproductive Health","A category sample that indicates an irregular menstrual cycle.",,,"HKCategoryValue","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/irregularmenstrualcycles"
"lactation","HKCategoryTypeIdentifierLactation","HKCategoryTypeIdentifier","Reproductive Health","A category type that records lactation.",,,"HKCategoryValue","14.3","7.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/lactation"
"lowCardioFitnessEvent","HKCategoryTypeIdentifierLowCardioFitnessEvent","HKCategoryTypeIdentifier","Activity","An event that indicates the user’s VO2 max values consistently fall below a particular aerobic fitness threshold.",,,"HKCategoryValueLowCardioFitnessEvent","14.3","7.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/lowcardiofitnessevent"
"lowHeartRateEvent","HKCategoryTypeIdentifierLowHeartRateEvent","HKCategoryTypeIdentifier","Vital Signs","A category sample type for low heart rate events.",,,"HKCategoryValue","12.2","5.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/lowheartrateevent"
"menopausalState","HKCategoryTypeIdentifierMenopausalState","HKCategoryTypeIdentifier","Reproductive Health","An identifier for samples that record a person’s menopausal state.",,,"HKCategoryValueMenopausalState","27.0","27.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/menopausalstate"
"menstrualFlow","HKCategoryTypeIdentifierMenstrualFlow","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records menstrual cycles.",,,"HKCategoryValueMenstrualFlow","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/menstrualflow"
"mindfulSession","HKCategoryTypeIdentifierMindfulSession","HKCategoryTypeIdentifier","Mindfulness and Sleep","A category sample type for recording a mindful session.",,,"HKCategoryValue","10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/mindfulsession"
"ovulationTestResult","HKCategoryTypeIdentifierOvulationTestResult","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records the result of an ovulation home test.",,,"HKCategoryValueOvulationTestResult","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/ovulationtestresult"
"persistentIntermenstrualBleeding","HKCategoryTypeIdentifierPersistentIntermenstrualBleeding","HKCategoryTypeIdentifier","Reproductive Health","A category sample that indicates persistent intermenstrual bleeding.",,,"HKCategoryValue","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/persistentintermenstrualbleeding"
"pregnancy","HKCategoryTypeIdentifierPregnancy","HKCategoryTypeIdentifier","Reproductive Health","A category type that records pregnancy.",,,"HKCategoryValue","14.3","7.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pregnancy"
"pregnancyTestResult","HKCategoryTypeIdentifierPregnancyTestResult","HKCategoryTypeIdentifier","Reproductive Health","A category type that represents the results from a home pregnancy test.",,,"HKCategoryValuePregnancyTestResult","15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pregnancytestresult"
"progesteroneTestResult","HKCategoryTypeIdentifierProgesteroneTestResult","HKCategoryTypeIdentifier","Reproductive Health","A category type that represents the results from a home progesterone test.",,,"HKCategoryValueProgesteroneTestResult","15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/progesteronetestresult"
"prolongedMenstrualPeriods","HKCategoryTypeIdentifierProlongedMenstrualPeriods","HKCategoryTypeIdentifier","Reproductive Health","A category sample that indicates a prolonged menstrual cycle.",,,"HKCategoryValue","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/prolongedmenstrualperiods"
"sexualActivity","HKCategoryTypeIdentifierSexualActivity","HKCategoryTypeIdentifier","Reproductive Health","A category sample type that records sexual activity.",,,"HKCategoryValue","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/sexualactivity"
"sleepAnalysis","HKCategoryTypeIdentifierSleepAnalysis","HKCategoryTypeIdentifier","Mindfulness and Sleep","A category sample type for sleep analysis information.",,,"HKCategoryValueSleepAnalysis","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/sleepanalysis"
"toothbrushingEvent","HKCategoryTypeIdentifierToothbrushingEvent","HKCategoryTypeIdentifier","Self Care","A category sample type for toothbrushing events.",,,"HKCategoryValue","13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/toothbrushingevent"
"activityMoveMode","HKCharacteristicTypeIdentifierActivityMoveMode","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic identifier for the user’s activity mode.",,,,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/activitymovemode"
"biologicalSex","HKCharacteristicTypeIdentifierBiologicalSex","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic type identifier for the user’s sex.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/biologicalsex"
"bloodType","HKCharacteristicTypeIdentifierBloodType","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic type identifier for the user’s blood type.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodtype"
"dateOfBirth","HKCharacteristicTypeIdentifierDateOfBirth","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic type identifier for the user’s date of birth.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dateofbirth"
"fitzpatrickSkinType","HKCharacteristicTypeIdentifierFitzpatrickSkinType","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic type identifier for the user’s skin type.",,,,"9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/fitzpatrickskintype"
"wheelchairUse","HKCharacteristicTypeIdentifierWheelchairUse","HKCharacteristicTypeIdentifier","Characteristic Types","A characteristic identifier for the user’s use of a wheelchair.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/wheelchairuse"
"americanFootball","HKWorkoutActivityTypeAmericanFootball","HKWorkoutActivityType","Team sports","The constant for playing American football.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/americanfootball"
"archery","HKWorkoutActivityTypeArchery","HKWorkoutActivityType","Individual sports","The constant for shooting archery.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/archery"
"australianFootball","HKWorkoutActivityTypeAustralianFootball","HKWorkoutActivityType","Team sports","The constant for playing Australian football.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/australianfootball"
"badminton","HKWorkoutActivityTypeBadminton","HKWorkoutActivityType","Racket sports","The constant for playing badminton.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/badminton"
"barre","HKWorkoutActivityTypeBarre","HKWorkoutActivityType","Studio activities","The constant for barre workout.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/barre"
"baseball","HKWorkoutActivityTypeBaseball","HKWorkoutActivityType","Team sports","The constant for playing baseball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/baseball"
"basketball","HKWorkoutActivityTypeBasketball","HKWorkoutActivityType","Team sports","The constant for playing basketball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/basketball"
"bowling","HKWorkoutActivityTypeBowling","HKWorkoutActivityType","Individual sports","The constant for bowling.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bowling"
"boxing","HKWorkoutActivityTypeBoxing","HKWorkoutActivityType","Martial arts","The constant for boxing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/boxing"
"cardioDance","HKWorkoutActivityTypeCardioDance","HKWorkoutActivityType","Studio activities","The constant for cardiovascular dance workouts.",,,,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cardiodance"
"climbing","HKWorkoutActivityTypeClimbing","HKWorkoutActivityType","Outdoor activities","The constant for climbing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/climbing"
"cooldown","HKWorkoutActivityTypeCooldown","HKWorkoutActivityType","Exercise and fitness","The constant for low intensity stretching and mobility exercises following a more vigorous workout.",,,,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cooldown"
"coreTraining","HKWorkoutActivityTypeCoreTraining","HKWorkoutActivityType","Exercise and fitness","The constant for core training.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/coretraining"
"cricket","HKWorkoutActivityTypeCricket","HKWorkoutActivityType","Team sports","The constant for playing cricket.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cricket"
"crossCountrySkiing","HKWorkoutActivityTypeCrossCountrySkiing","HKWorkoutActivityType","Snow and ice sports","The constant for cross country skiing.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/crosscountryskiing"
"crossTraining","HKWorkoutActivityTypeCrossTraining","HKWorkoutActivityType","Exercise and fitness","The constant for exercise that includes any mixture of cardio, strength, and/or flexibility training.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/crosstraining"
"curling","HKWorkoutActivityTypeCurling","HKWorkoutActivityType","Snow and ice sports","The constant for curling.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/curling"
"cycling","HKWorkoutActivityTypeCycling","HKWorkoutActivityType","Exercise and fitness","The constant for cycling.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cycling"
"dance","HKWorkoutActivityTypeDance","HKWorkoutActivityType","Deprecated activity types","The constant for dancing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dance"
"danceInspiredTraining","HKWorkoutActivityTypeDanceInspiredTraining","HKWorkoutActivityType","Deprecated activity types","The constant for workouts inspired by dance, including Pilates, Barre, and Feldenkrais.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/danceinspiredtraining"
"discSports","HKWorkoutActivityTypeDiscSports","HKWorkoutActivityType","Team sports","The constant for playing disc sports such as Ultimate and Disc Golf.",,,,"13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/discsports"
"downhillSkiing","HKWorkoutActivityTypeDownhillSkiing","HKWorkoutActivityType","Snow and ice sports","The constant for downhill skiing.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/downhillskiing"
"elliptical","HKWorkoutActivityTypeElliptical","HKWorkoutActivityType","Exercise and fitness","The constant for workouts on an elliptical machine.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/elliptical"
"equestrianSports","HKWorkoutActivityTypeEquestrianSports","HKWorkoutActivityType","Outdoor activities","The constant for activities that involve riding a horse, including polo, horse racing, and horse riding.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/equestriansports"
"fencing","HKWorkoutActivityTypeFencing","HKWorkoutActivityType","Individual sports","The constant for fencing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/fencing"
"fishing","HKWorkoutActivityTypeFishing","HKWorkoutActivityType","Outdoor activities","The constant for fishing.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/fishing"
"fitnessGaming","HKWorkoutActivityTypeFitnessGaming","HKWorkoutActivityType","Exercise and fitness","The constant for playing fitness-based video games.",,,,"13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/fitnessgaming"
"flexibility","HKWorkoutActivityTypeFlexibility","HKWorkoutActivityType","Exercise and fitness","The constant for a flexibility workout.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/flexibility"
"functionalStrengthTraining","HKWorkoutActivityTypeFunctionalStrengthTraining","HKWorkoutActivityType","Exercise and fitness","The constant for strength training, primarily with free weights and body weight.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/functionalstrengthtraining"
"golf","HKWorkoutActivityTypeGolf","HKWorkoutActivityType","Outdoor activities","The constant for playing golf.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/golf"
"gymnastics","HKWorkoutActivityTypeGymnastics","HKWorkoutActivityType","Individual sports","Performing gymnastics.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/gymnastics"
"handball","HKWorkoutActivityTypeHandball","HKWorkoutActivityType","Team sports","The constant for playing handball.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/handball"
"handCycling","HKWorkoutActivityTypeHandCycling","HKWorkoutActivityType","Exercise and fitness","The constant for hand cycling.",,,,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/handcycling"
"highIntensityIntervalTraining","HKWorkoutActivityTypeHighIntensityIntervalTraining","HKWorkoutActivityType","Exercise and fitness","The constant for high intensity interval training.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/highintensityintervaltraining"
"hiking","HKWorkoutActivityTypeHiking","HKWorkoutActivityType","Outdoor activities","The constant for hiking.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/hiking"
"hockey","HKWorkoutActivityTypeHockey","HKWorkoutActivityType","Team sports","The constant for playing hockey, including ice hockey, field hockey, and related sports.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/hockey"
"hunting","HKWorkoutActivityTypeHunting","HKWorkoutActivityType","Outdoor activities","The constant for hunting.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/hunting"
"jumpRope","HKWorkoutActivityTypeJumpRope","HKWorkoutActivityType","Exercise and fitness","The constant for jumping rope.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/jumprope"
"kickboxing","HKWorkoutActivityTypeKickboxing","HKWorkoutActivityType","Martial arts","The constant for kickboxing.",,,,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/kickboxing"
"lacrosse","HKWorkoutActivityTypeLacrosse","HKWorkoutActivityType","Team sports","The constant for playing lacrosse.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/lacrosse"
"martialArts","HKWorkoutActivityTypeMartialArts","HKWorkoutActivityType","Martial arts","The constant for practicing martial arts.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/martialarts"
"mindAndBody","HKWorkoutActivityTypeMindAndBody","HKWorkoutActivityType","Studio activities","The constant for performing activities like walking meditation, Gyrotonic exercise, and Qigong.",,,,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/mindandbody"
"mixedCardio","HKWorkoutActivityTypeMixedCardio","HKWorkoutActivityType","Exercise and fitness","The constant for workouts that mix a variety of cardio exercise machines or modalities.",,,,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/mixedcardio"
