identifier,objcConstant,group,abstract,aggregation,unitFamily,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"swimmingStrokeCount","HKQuantityTypeIdentifierSwimmingStrokeCount","Activity","A quantity sample type that measures the number of strokes performed while swimming.","cumulative","count","10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/swimmingstrokecount"
"timeInDaylight","HKQuantityTypeIdentifierTimeInDaylight","UV exposure","A quantity sample type that measures amount of time the user spent in daylight.","cumulative","time","17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/timeindaylight"
"underwaterDepth","HKQuantityTypeIdentifierUnderwaterDepth","Diving","A quantity sample that records a person’s depth underwater.","discrete","length","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/underwaterdepth"
"uvExposure","HKQuantityTypeIdentifierUVExposure","UV exposure","A quantity sample type that measures the user’s exposure to UV radiation.","discrete","count","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/uvexposure"
"vo2Max","HKQuantityTypeIdentifierVO2Max","Activity","A quantity sample that measures the maximal oxygen consumption during exercise.","discrete",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/vo2max"
"waistCircumference","HKQuantityTypeIdentifierWaistCircumference","Body measurements","A quantity sample type that measures the user’s waist circumference.","discrete","length","11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/waistcircumference"
"walkingAsymmetryPercentage","HKQuantityTypeIdentifierWalkingAsymmetryPercentage","Mobility","A quantity sample type that measures the percentage of steps in which one foot moves at a different speed than the other when walking on flat ground.","discrete","percentage","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingasymmetrypercentage"
"walkingDoubleSupportPercentage","HKQuantityTypeIdentifierWalkingDoubleSupportPercentage","Mobility","A quantity sample type that measures the percentage of time when both of the user’s feet touch the ground while walking steadily over flat ground.","discrete","percentage","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingdoublesupportpercentage"
"walkingHeartRateAverage","HKQuantityTypeIdentifierWalkingHeartRateAverage","Vital signs","A quantity sample type that measures the user’s heart rate while walking.","discrete",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingheartrateaverage"
"walkingSpeed","HKQuantityTypeIdentifierWalkingSpeed","Mobility","A quantity sample type that measures the user’s average speed when walking steadily over flat ground.","discrete","distance per time","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingspeed"
"walkingStepLength","HKQuantityTypeIdentifierWalkingStepLength","Mobility","A quantity sample type that measures the average length of the user’s step when walking steadily over flat ground.","discrete","distance","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/walkingsteplength"
"waterTemperature","HKQuantityTypeIdentifierWaterTemperature","Diving","A quantity sample that records the water temperature.","discrete","temperature","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/watertemperature"
"workoutEffortScore","HKQuantityTypeIdentifierWorkoutEffortScore","Activity",,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/workouteffortscore"
